string_id,gene_name,uniprot_id,uniprot_ac,protein_fullname,degree,degree_cent,betweenness,closeness,eigenvector,pagerank,k_core,clustering_coeff,weighted_degree,community_id,community_size,participation_coeff,within_module_z,num_comm_connected,protein_role,label
9606.ENSP00000362446,ZNF79,ZNF79_HUMAN,Q15937,Zinc finger protein 79,1.0,6.3e-05,0.0,0.179804811,6.44e-08,1.15e-05,1.0,0.0,755.0,1.0,2329.0,0.0,-0.707386318,0.0,peripheral,0
9606.ENSP00000362456,PBDC1,PBDC1_HUMAN,Q9BVG4,Protein PBDC1,2.0,0.000125937,0.0,0.217678558,0.000211501,1.66e-05,2.0,0.821761933,1655.0,17.0,842.0,0.0,-0.998752557,0.0,peripheral,0
9606.ENSP00000362592,RBBP4,RBBP4_HUMAN,B2R6G9,Histone-binding protein RBBP4,164.0,0.010326806,0.000977809,0.275584112,0.000834717,0.000276368,43.0,0.165257085,146768.0,7.0,1183.0,0.279149316,2.090682731,5.0,peripheral,1
9606.ENSP00000362608,PIM1,PIM1_HUMAN,P11309,Serine/threonine-protein kinase pim-1,11.0,0.000692652,0.000177049,0.247664619,4.07e-05,3.78e-05,10.0,0.189617584,9272.0,11.0,893.0,0.644628099,-0.657013373,3.0,connector,0
9606.ENSP00000362649,HDAC1,HDAC1_HUMAN,Q13547,Histone deacetylase 1,339.0,0.021346263,0.010308408,0.314348688,0.001925521,0.000619769,48.0,0.085903589,297953.0,7.0,1183.0,0.605076531,3.301564671,9.0,provincial_hub,0
9606.ENSP00000362688,EIF3I,EIF3I_HUMAN,Q13347,,126.0,0.007934009,4.79e-05,0.272161919,0.034263915,0.00011405,80.0,0.538295779,112490.0,17.0,842.0,0.273746536,0.169732425,3.0,peripheral,1
9606.ENSP00000362716,GHRH,SLIB_HUMAN,P01286,Somatoliberin,44.0,0.002770606,0.000349807,0.252663569,2.72e-05,0.000113349,21.0,0.268418198,37321.0,4.0,2493.0,0.480371901,0.888849996,4.0,peripheral,0
9606.ENSP00000362744,RPS4X,RS4X_HUMAN,P12631,"40S ribosomal protein S4, X isoform",274.0,0.017253322,8.82e-05,0.286855406,0.074743131,0.000214982,112.0,0.436758398,249759.0,17.0,842.0,0.09169375,1.911224466,5.0,peripheral,1
9606.ENSP00000362776,COL16A1,COGA1_HUMAN,Q07092,Collagen alpha-1(XVI) chain,25.0,0.001574208,5.23e-06,0.224784296,8.52e-06,6.04e-05,17.0,0.376737105,19514.0,1.0,2329.0,0.0,-0.016355967,0.0,peripheral,0
9606.ENSP00000362777,ATOH7,ATOH7_HUMAN,Q8N100,Protein atonal homolog 7,4.0,0.000251873,2.56e-06,0.19712148,2.79e-07,2.67e-05,4.0,0.136264772,3340.0,20.0,1252.0,0.375,-0.591359487,1.0,peripheral,0
9606.ENSP00000362807,PEF1,PEF1_HUMAN,Q9UBV8,Peflin,42.0,0.00264467,0.0,0.237332057,3.66e-05,8.56e-05,33.0,0.545110395,33350.0,3.0,1094.0,0.345804989,0.795107976,2.0,peripheral,0
9606.ENSP00000362820,SRSF3,SRSF3_HUMAN,B4E241,Serine/arginine-rich splicing factor 3,99.0,0.006233864,0.00012489,0.256494048,0.000843035,0.00014458,40.0,0.324813594,85199.0,11.0,893.0,0.039791858,1.903229034,2.0,peripheral,1
9606.ENSP00000362824,OGT,OGT1_HUMAN,O15294,,84.0,0.005289339,0.001000292,0.277670137,0.000229892,0.000152363,35.0,0.163044055,71852.0,7.0,1183.0,0.522675737,0.407762069,6.0,peripheral,1
9606.ENSP00000362900,SRSF4,SRSF4_HUMAN,Q08170,Serine/arginine-rich splicing factor 4,49.0,0.003085448,1.57e-06,0.235289572,0.000293579,7.32e-05,33.0,0.391029729,41077.0,11.0,893.0,0.0,0.567450387,0.0,peripheral,0
9606.ENSP00000362991,XKR8,XKR8_HUMAN,Q9H6D3,XK-related protein 8,3.0,0.000188905,4.28e-05,0.213141526,7.01e-07,2.49e-05,3.0,0.0,2585.0,8.0,1936.0,0.666666667,-0.942586578,2.0,connector,0
9606.ENSP00000362993,BICC1,BICC1_HUMAN,Q9H694,Protein bicaudal C homolog 1,2.0,0.000125937,3.65e-07,0.16744572,3e-08,1.71e-05,2.0,0.0,1488.0,25.0,998.0,0.5,-0.879298223,1.0,peripheral,0
9606.ENSP00000363017,RPA2,RFA2_HUMAN,P15927,Replication protein A 32 kDa subunit,99.0,0.006233864,0.00021927,0.266997752,0.000389688,0.000155804,40.0,0.278030047,85889.0,5.0,888.0,0.255076013,1.826024591,5.0,peripheral,1
9606.ENSP00000363018,RPL10A,RL10A_HUMAN,B2R801,60S ribosomal protein L10a,233.0,0.01467162,2.71e-05,0.286930927,0.071461668,0.00017779,112.0,0.542576523,211350.0,17.0,842.0,0.107756636,1.450571732,5.0,peripheral,1
9606.ENSP00000363046,IPMK,IPMK_HUMAN,Q8NFU5,Inositol polyphosphate multikinase,23.0,0.001448272,0.000136587,0.231371187,7.56e-06,6.48e-05,14.0,0.429575343,21171.0,25.0,998.0,0.47637051,0.125671574,3.0,peripheral,0
